start_id,end_id,start_date,end_date,subscription_type
60,38,8/30/2013 10:27,8/30/2013 12:00,Customer
3,3,8/30/2013 11:15,8/30/2013 12:51,Subscriber
23,23,8/30/2013 18:25,8/30/2013 20:03,Customer
23,23,8/30/2013 18:25,8/30/2013 20:04,Customer
33,60,8/30/2013 13:47,8/30/2013 15:36,Customer
45,64,8/30/2013 19:34,8/30/2013 21:26,Customer
29,29,8/30/2013 13:56,8/30/2013 15:49,Customer
29,29,8/30/2013 13:55,8/30/2013 15:48,Customer
60,60,8/30/2013 19:30,8/30/2013 21:27,Customer
60,60,8/30/2013 19:30,8/30/2013 21:27,Customer
60,60,8/30/2013 19:26,8/30/2013 21:28,Customer
60,60,8/30/2013 19:23,8/30/2013 21:27,Customer
60,60,8/30/2013 19:27,8/30/2013 21:31,Customer
49,38,8/30/2013 13:11,8/30/2013 15:17,Customer
49,38,8/30/2013 13:10,8/30/2013 15:17,Customer
55,49,8/30/2013 9:19,8/30/2013 11:27,Customer
45,65,8/30/2013 17:00,8/30/2013 19:11,Customer
64,37,8/30/2013 17:23,8/30/2013 19:34,Customer
46,42,8/30/2013 16:21,8/30/2013 18:34,Customer
45,66,8/30/2013 12:03,8/30/2013 14:19,Customer
46,46,8/30/2013 16:21,8/30/2013 18:37,Customer
45,66,8/30/2013 12:00,8/30/2013 14:18,Customer
2,2,8/30/2013 15:38,8/30/2013 18:00,Customer
35,40,8/30/2013 18:43,8/30/2013 21:17,Subscriber
34,34,8/30/2013 7:19,8/30/2013 10:06,Customer
37,62,8/30/2013 12:32,8/30/2013 15:32,Customer
38,40,8/30/2013 16:05,8/30/2013 19:08,Customer
5,8,8/30/2013 19:54,8/30/2013 23:21,Customer
5,8,8/30/2013 19:53,8/30/2013 23:21,Customer
40,60,8/30/2013 13:38,8/30/2013 17:08,Customer
40,60,8/30/2013 13:33,8/30/2013 17:07,Customer
66,40,8/30/2013 9:50,8/30/2013 13:40,Customer
64,49,8/30/2013 13:53,8/30/2013 17:56,Customer
64,49,8/30/2013 13:54,8/30/2013 17:57,Customer
29,29,8/30/2013 10:02,8/30/2013 14:15,Customer
44,38,8/30/2013 12:29,8/30/2013 17:05,Customer
16,28,8/30/2013 10:24,8/30/2013 15:03,Customer
44,38,8/30/2013 12:26,8/30/2013 17:05,Customer
34,34,8/30/2013 16:37,8/30/2013 21:19,Customer
34,34,8/30/2013 16:25,8/30/2013 21:18,Customer
34,34,8/30/2013 16:23,8/30/2013 21:19,Customer
