start_id,end_id,start_date,end_date,subscription_type
49,49,8/30/2013 18:08,8/30/2013 18:13,Subscriber
22,22,8/30/2013 21:40,8/30/2013 21:45,Subscriber
59,46,8/30/2013 8:49,8/30/2013 8:53,Customer
65,42,8/30/2013 18:20,8/30/2013 18:24,Customer
39,52,8/30/2013 21:41,8/30/2013 21:46,Subscriber
3,1,8/30/2013 16:37,8/30/2013 16:42,Subscriber
12,5,8/30/2013 13:10,8/30/2013 13:15,Subscriber
1,1,8/30/2013 18:38,8/30/2013 18:43,Subscriber
63,45,8/30/2013 10:15,8/30/2013 10:20,Subscriber
37,33,8/30/2013 17:21,8/30/2013 17:26,Subscriber
50,59,8/30/2013 18:04,8/30/2013 18:09,Subscriber
58,54,8/30/2013 13:59,8/30/2013 14:04,Customer
53,66,8/30/2013 20:19,8/30/2013 20:24,Subscriber
3,1,8/30/2013 13:30,8/30/2013 13:35,Subscriber
6,2,8/30/2013 13:08,8/30/2013 13:13,Subscriber
58,54,8/30/2013 11:32,8/30/2013 11:37,Subscriber
6,12,8/30/2013 19:51,8/30/2013 19:56,Customer
61,61,8/30/2013 18:58,8/30/2013 19:03,Subscriber
39,63,8/30/2013 17:53,8/30/2013 17:58,Subscriber
65,42,8/30/2013 18:20,8/30/2013 18:25,Customer
65,61,8/30/2013 10:32,8/30/2013 10:37,Subscriber
66,57,8/30/2013 16:19,8/30/2013 16:24,Customer
33,64,8/30/2013 10:15,8/30/2013 10:20,Customer
39,52,8/30/2013 13:56,8/30/2013 14:01,Customer
58,46,8/30/2013 9:04,8/30/2013 9:09,Customer
50,52,8/30/2013 9:29,8/30/2013 9:35,Subscriber
44,40,8/30/2013 16:47,8/30/2013 16:52,Customer
56,42,8/30/2013 18:41,8/30/2013 18:47,Subscriber
61,61,8/30/2013 18:43,8/30/2013 18:49,Customer
65,57,8/30/2013 10:34,8/30/2013 10:39,Subscriber
17,17,8/30/2013 14:13,8/30/2013 14:19,Subscriber
22,24,8/30/2013 12:19,8/30/2013 12:25,Customer
40,63,8/30/2013 23:51,8/30/2013 23:56,Customer
66,51,8/30/2013 10:38,8/30/2013 10:44,Customer
55,61,8/30/2013 16:32,8/30/2013 16:37,Subscriber
42,66,8/30/2013 18:00,8/30/2013 18:06,Subscriber
56,65,8/30/2013 20:36,8/30/2013 20:41,Subscriber
38,49,8/30/2013 12:14,8/30/2013 12:19,Customer
61,55,8/30/2013 8:59,8/30/2013 9:04,Subscriber
49,49,8/30/2013 15:40,8/30/2013 15:45,Subscriber
61,55,8/30/2013 21:37,8/30/2013 21:42,Subscriber
37,45,8/30/2013 9:43,8/30/2013 9:49,Subscriber
9,5,8/30/2013 16:53,8/30/2013 16:59,Subscriber
52,46,8/30/2013 12:12,8/30/2013 12:18,Subscriber
49,49,8/30/2013 19:05,8/30/2013 19:11,Subscriber
43,40,8/30/2013 11:57,8/30/2013 12:03,Subscriber
37,53,8/30/2013 12:14,8/30/2013 12:19,Subscriber
46,59,8/30/2013 14:17,8/30/2013 14:23,Customer
45,37,8/30/2013 10:35,8/30/2013 10:41,Subscriber
45,44,8/30/2013 12:18,8/30/2013 12:24,Subscriber
38,49,8/30/2013 16:57,8/30/2013 17:03,Subscriber
7,2,8/30/2013 18:16,8/30/2013 18:22,Subscriber
33,40,8/30/2013 16:08,8/30/2013 16:14,Subscriber
55,42,8/30/2013 8:27,8/30/2013 8:33,Subscriber
37,40,8/30/2013 15:19,8/30/2013 15:24,Subscriber
5,7,8/30/2013 13:36,8/30/2013 13:42,Subscriber
34,62,8/30/2013 12:09,8/30/2013 12:15,Subscriber
40,63,8/30/2013 23:51,8/30/2013 23:56,Customer
9,7,8/30/2013 18:08,8/30/2013 18:14,Subscriber
43,63,8/30/2013 14:28,8/30/2013 14:34,Subscriber
42,58,8/30/2013 11:48,8/30/2013 11:54,Subscriber
61,56,8/30/2013 10:38,8/30/2013 10:44,Subscriber
40,63,8/30/2013 23:50,8/30/2013 23:56,Customer
42,58,8/30/2013 5:16,8/30/2013 5:23,Customer
5,6,8/30/2013 13:12,8/30/2013 13:19,Subscriber
49,33,8/30/2013 13:07,8/30/2013 13:13,Customer
35,65,8/30/2013 13:54,8/30/2013 14:00,Subscriber
55,42,8/30/2013 15:02,8/30/2013 15:08,Subscriber
37,37,8/30/2013 15:09,8/30/2013 15:15,Subscriber
45,39,8/30/2013 21:16,8/30/2013 21:22,Subscriber
50,66,8/30/2013 15:14,8/30/2013 15:20,Subscriber
2,4,8/30/2013 14:43,8/30/2013 14:49,Subscriber
20,16,8/30/2013 17:18,8/30/2013 17:24,Subscriber
5,6,8/30/2013 18:21,8/30/2013 18:27,Customer
66,57,8/30/2013 16:17,8/30/2013 16:24,Customer
40,43,8/30/2013 13:08,8/30/2013 13:15,Subscriber
38,49,8/30/2013 15:21,8/30/2013 15:27,Customer
49,49,8/30/2013 19:04,8/30/2013 19:11,Customer
24,22,8/30/2013 19:36,8/30/2013 19:42,Subscriber
51,59,8/30/2013 16:35,8/30/2013 16:42,Subscriber
27,23,8/30/2013 7:07,8/30/2013 7:14,Subscriber
40,64,8/30/2013 12:43,8/30/2013 12:50,Subscriber
24,22,8/30/2013 19:36,8/30/2013 19:42,Subscriber
39,45,8/30/2013 21:24,8/30/2013 21:31,Subscriber
33,35,8/30/2013 15:19,8/30/2013 15:26,Subscriber
55,48,8/30/2013 11:40,8/30/2013 11:47,Subscriber
50,66,8/30/2013 8:16,8/30/2013 8:23,Subscriber
49,38,8/30/2013 15:02,8/30/2013 15:09,Customer
49,40,8/30/2013 15:17,8/30/2013 15:24,Customer
45,65,8/30/2013 13:32,8/30/2013 13:39,Subscriber
8,8,8/30/2013 11:07,8/30/2013 11:14,Subscriber
53,51,8/30/2013 15:09,8/30/2013 15:16,Subscriber
15,19,8/30/2013 17:21,8/30/2013 17:28,Subscriber
16,20,8/30/2013 11:53,8/30/2013 11:59,Subscriber
37,37,8/30/2013 15:20,8/30/2013 15:27,Subscriber
55,48,8/30/2013 11:40,8/30/2013 11:47,Subscriber
66,40,8/30/2013 22:13,8/30/2013 22:20,Customer
60,35,8/30/2013 16:53,8/30/2013 17:00,Subscriber
9,7,8/30/2013 18:26,8/30/2013 18:33,Subscriber
48,42,8/30/2013 10:41,8/30/2013 10:48,Subscriber
6,5,8/30/2013 15:53,8/30/2013 16:00,Customer
9,7,8/30/2013 18:26,8/30/2013 18:33,Subscriber
49,40,8/30/2013 15:17,8/30/2013 15:24,Customer
32,32,8/30/2013 12:21,8/30/2013 12:28,Customer
6,5,8/30/2013 15:53,8/30/2013 16:00,Customer
63,43,8/30/2013 6:28,8/30/2013 6:35,Subscriber
65,40,8/30/2013 12:00,8/30/2013 12:08,Subscriber
1,3,8/30/2013 8:28,8/30/2013 8:35,Subscriber
59,50,8/30/2013 18:36,8/30/2013 18:43,Subscriber
59,53,8/30/2013 19:24,8/30/2013 19:31,Customer
48,65,8/30/2013 19:20,8/30/2013 19:27,Subscriber
5,8,8/30/2013 22:31,8/30/2013 22:39,Subscriber
40,37,8/30/2013 7:16,8/30/2013 7:24,Subscriber
47,65,8/30/2013 12:10,8/30/2013 12:18,Subscriber
63,37,8/30/2013 13:03,8/30/2013 13:11,Subscriber
61,60,8/30/2013 8:29,8/30/2013 8:36,Subscriber
39,40,8/30/2013 14:22,8/30/2013 14:30,Customer
23,27,8/30/2013 18:06,8/30/2013 18:13,Subscriber
50,54,8/30/2013 22:35,8/30/2013 22:43,Customer
18,17,8/30/2013 13:00,8/30/2013 13:07,Subscriber
37,63,8/30/2013 12:20,8/30/2013 12:27,Subscriber
37,42,8/30/2013 12:10,8/30/2013 12:18,Subscriber
55,65,8/30/2013 7:44,8/30/2013 7:51,Customer
63,50,8/30/2013 9:21,8/30/2013 9:29,Customer
42,58,8/30/2013 11:21,8/30/2013 11:28,Customer
12,6,8/30/2013 14:56,8/30/2013 15:03,Customer
55,65,8/30/2013 11:30,8/30/2013 11:38,Subscriber
55,42,8/30/2013 12:35,8/30/2013 12:43,Subscriber
50,37,8/30/2013 18:53,8/30/2013 19:00,Subscriber
1,5,8/30/2013 8:41,8/30/2013 8:49,Customer
49,63,8/30/2013 12:16,8/30/2013 12:23,Subscriber
65,59,8/30/2013 19:18,8/30/2013 19:25,Customer
35,63,8/30/2013 14:20,8/30/2013 14:28,Customer
12,6,8/30/2013 14:55,8/30/2013 15:03,Customer
66,62,8/30/2013 11:40,8/30/2013 11:48,Customer
7,5,8/30/2013 11:36,8/30/2013 11:44,Subscriber
50,40,8/30/2013 12:42,8/30/2013 12:50,Customer
52,35,8/30/2013 13:58,8/30/2013 14:06,Subscriber
64,46,8/30/2013 14:14,8/30/2013 14:22,Customer
55,55,8/30/2013 14:16,8/30/2013 14:24,Subscriber
49,40,8/30/2013 18:46,8/30/2013 18:54,Customer
58,42,8/30/2013 21:41,8/30/2013 21:49,Subscriber
35,63,8/30/2013 14:20,8/30/2013 14:28,Customer
56,42,8/30/2013 14:48,8/30/2013 14:56,Customer
64,43,8/30/2013 18:50,8/30/2013 18:58,Subscriber
66,39,8/30/2013 18:17,8/30/2013 18:25,Subscriber
65,40,8/30/2013 11:12,8/30/2013 11:20,Customer
65,40,8/30/2013 11:12,8/30/2013 11:20,Customer
34,35,8/30/2013 8:57,8/30/2013 9:05,Customer
51,33,8/30/2013 9:36,8/30/2013 9:44,Customer
50,40,8/30/2013 11:53,8/30/2013 12:01,Subscriber
10,10,8/30/2013 13:01,8/30/2013 13:10,Customer
50,41,8/30/2013 6:41,8/30/2013 6:50,Subscriber
62,39,8/30/2013 7:38,8/30/2013 7:46,Subscriber
55,55,8/30/2013 10:02,8/30/2013 10:10,Subscriber
66,53,8/30/2013 9:10,8/30/2013 9:19,Customer
48,59,8/30/2013 15:19,8/30/2013 15:27,Customer
37,62,8/30/2013 16:59,8/30/2013 17:08,Customer
43,59,8/30/2013 17:30,8/30/2013 17:38,Customer
33,51,8/30/2013 14:11,8/30/2013 14:19,Customer
6,12,8/30/2013 19:48,8/30/2013 19:56,Customer
47,65,8/30/2013 15:47,8/30/2013 15:55,Customer
45,37,8/30/2013 15:49,8/30/2013 15:58,Subscriber
52,35,8/30/2013 9:49,8/30/2013 9:58,Customer
6,12,8/30/2013 19:48,8/30/2013 19:56,Customer
42,39,8/30/2013 6:59,8/30/2013 7:08,Customer
33,65,8/30/2013 17:13,8/30/2013 17:22,Customer
52,61,8/30/2013 18:42,8/30/2013 18:51,Customer
23,27,8/30/2013 18:46,8/30/2013 18:54,Subscriber
42,55,8/30/2013 13:53,8/30/2013 14:01,Subscriber
58,52,8/30/2013 18:20,8/30/2013 18:29,Customer
54,55,8/30/2013 7:32,8/30/2013 7:41,Subscriber
53,37,8/30/2013 12:24,8/30/2013 12:33,Subscriber
42,55,8/30/2013 13:14,8/30/2013 13:22,Subscriber
58,50,8/30/2013 10:28,8/30/2013 10:37,Customer
65,47,8/30/2013 15:16,8/30/2013 15:25,Customer
48,55,8/30/2013 12:29,8/30/2013 12:38,Subscriber
45,53,8/30/2013 13:05,8/30/2013 13:14,Customer
62,66,8/30/2013 22:20,8/30/2013 22:29,Customer
44,40,8/30/2013 15:19,8/30/2013 15:28,Customer
44,65,8/30/2013 18:30,8/30/2013 18:39,Customer
65,47,8/30/2013 14:34,8/30/2013 14:42,Subscriber
35,42,8/30/2013 18:18,8/30/2013 18:27,Subscriber
50,54,8/30/2013 21:08,8/30/2013 21:17,Customer
59,41,8/30/2013 8:24,8/30/2013 8:33,Subscriber
6,6,8/30/2013 11:01,8/30/2013 11:10,Customer
6,12,8/30/2013 19:47,8/30/2013 19:56,Customer
47,47,8/30/2013 20:38,8/30/2013 20:47,Customer
63,46,8/30/2013 7:52,8/30/2013 8:01,Customer
63,50,8/30/2013 10:47,8/30/2013 10:56,Subscriber
37,56,8/30/2013 9:13,8/30/2013 9:22,Subscriber
55,42,8/30/2013 17:43,8/30/2013 17:52,Subscriber
48,55,8/30/2013 12:29,8/30/2013 12:38,Subscriber
43,40,8/30/2013 16:10,8/30/2013 16:19,Subscriber
42,55,8/30/2013 21:05,8/30/2013 21:14,Subscriber
55,54,8/30/2013 16:36,8/30/2013 16:45,Subscriber
62,66,8/30/2013 17:39,8/30/2013 17:48,Customer
59,46,8/30/2013 13:48,8/30/2013 13:58,Customer
46,40,8/30/2013 18:49,8/30/2013 18:58,Subscriber
43,64,8/30/2013 14:31,8/30/2013 14:40,Customer
14,7,8/30/2013 17:16,8/30/2013 17:25,Customer
47,65,8/30/2013 10:29,8/30/2013 10:38,Customer
65,40,8/30/2013 12:47,8/30/2013 12:57,Subscriber
63,50,8/30/2013 14:30,8/30/2013 14:39,Customer
35,45,8/30/2013 13:10,8/30/2013 13:20,Subscriber
35,52,8/30/2013 12:30,8/30/2013 12:40,Subscriber
48,42,8/30/2013 12:58,8/30/2013 13:07,Subscriber
35,52,8/30/2013 13:54,8/30/2013 14:04,Customer
63,63,8/30/2013 10:40,8/30/2013 10:49,Subscriber
6,1,8/30/2013 10:56,8/30/2013 11:05,Customer
40,42,8/30/2013 14:59,8/30/2013 15:09,Subscriber
