start_id,end_id,start_date,end_date,subscription_type
55,55,8/29/2013 14:13,8/29/2013 14:14,Subscriber
9,9,8/29/2013 14:42,8/29/2013 14:43,Subscriber
21,21,8/29/2013 10:16,8/29/2013 10:17,Subscriber
9,9,8/29/2013 11:29,8/29/2013 11:30,Subscriber
55,56,8/29/2013 12:02,8/29/2013 12:04,Subscriber
48,48,8/29/2013 18:54,8/29/2013 18:56,Subscriber
3,4,8/29/2013 13:25,8/29/2013 13:27,Subscriber
7,7,8/29/2013 14:02,8/29/2013 14:04,Subscriber
55,55,8/29/2013 17:01,8/29/2013 17:03,Subscriber
9,10,8/29/2013 11:33,8/29/2013 11:35,Subscriber
39,43,8/29/2013 13:52,8/29/2013 13:55,Subscriber
5,3,8/29/2013 13:23,8/29/2013 13:25,Subscriber
22,22,8/29/2013 19:32,8/29/2013 19:35,Subscriber
53,53,8/29/2013 13:57,8/29/2013 13:59,Subscriber
33,45,8/29/2013 12:31,8/29/2013 12:33,Subscriber
37,37,8/29/2013 16:57,8/29/2013 16:59,Subscriber
9,9,8/29/2013 11:25,8/29/2013 11:27,Subscriber
56,56,8/29/2013 12:11,8/29/2013 12:14,Subscriber
63,40,8/29/2013 22:21,8/29/2013 22:24,Subscriber
42,65,8/29/2013 22:06,8/29/2013 22:08,Subscriber
39,43,8/29/2013 19:42,8/29/2013 19:44,Subscriber
16,16,8/29/2013 12:45,8/29/2013 12:48,Subscriber
47,47,8/29/2013 11:40,8/29/2013 11:42,Subscriber
37,66,8/29/2013 22:12,8/29/2013 22:14,Subscriber
45,63,8/29/2013 10:56,8/29/2013 10:59,Customer
8,8,8/29/2013 13:53,8/29/2013 13:56,Subscriber
44,41,8/29/2013 13:43,8/29/2013 13:46,Subscriber
2,7,8/29/2013 13:31,8/29/2013 13:34,Subscriber
55,55,8/29/2013 21:43,8/29/2013 21:46,Subscriber
20,19,8/29/2013 18:45,8/29/2013 18:48,Subscriber
50,53,8/29/2013 11:45,8/29/2013 11:48,Customer
61,61,8/29/2013 12:27,8/29/2013 12:30,Subscriber
53,53,8/29/2013 9:08,8/29/2013 9:11,Subscriber
47,55,8/29/2013 15:02,8/29/2013 15:05,Subscriber
35,35,8/29/2013 9:42,8/29/2013 9:45,Subscriber
65,37,8/29/2013 22:08,8/29/2013 22:12,Subscriber
56,55,8/29/2013 16:27,8/29/2013 16:30,Subscriber
51,50,8/29/2013 15:11,8/29/2013 15:14,Subscriber
51,51,8/29/2013 17:30,8/29/2013 17:33,Subscriber
56,55,8/29/2013 16:27,8/29/2013 16:30,Subscriber
42,65,8/29/2013 17:22,8/29/2013 17:25,Subscriber
33,36,8/29/2013 19:06,8/29/2013 19:10,Customer
36,33,8/29/2013 12:39,8/29/2013 12:42,Subscriber
9,9,8/29/2013 14:38,8/29/2013 14:42,Subscriber
48,47,8/29/2013 16:15,8/29/2013 16:18,Subscriber
29,31,8/29/2013 17:48,8/29/2013 17:51,Subscriber
48,47,8/29/2013 16:15,8/29/2013 16:18,Subscriber
56,55,8/29/2013 17:38,8/29/2013 17:42,Subscriber
57,46,8/29/2013 17:57,8/29/2013 18:00,Customer
4,2,8/29/2013 13:28,8/29/2013 13:31,Subscriber
63,40,8/29/2013 15:17,8/29/2013 15:21,Subscriber
57,46,8/29/2013 17:57,8/29/2013 18:00,Customer
60,65,8/29/2013 19:54,8/29/2013 19:57,Subscriber
56,61,8/29/2013 13:08,8/29/2013 13:11,Subscriber
58,58,8/29/2013 21:45,8/29/2013 21:49,Subscriber
21,21,8/29/2013 9:38,8/29/2013 9:41,Subscriber
62,35,8/29/2013 12:13,8/29/2013 12:16,Subscriber
38,40,8/29/2013 12:39,8/29/2013 12:43,Subscriber
50,58,8/29/2013 12:40,8/29/2013 12:43,Subscriber
64,33,8/29/2013 13:11,8/29/2013 13:15,Subscriber
55,56,8/29/2013 17:05,8/29/2013 17:08,Subscriber
51,66,8/29/2013 20:00,8/29/2013 20:04,Customer
48,55,8/29/2013 20:01,8/29/2013 20:05,Subscriber
55,47,8/29/2013 13:58,8/29/2013 14:02,Subscriber
37,66,8/29/2013 14:30,8/29/2013 14:34,Subscriber
59,54,8/29/2013 15:48,8/29/2013 15:52,Subscriber
10,11,8/29/2013 16:21,8/29/2013 16:25,Subscriber
40,45,8/29/2013 16:56,8/29/2013 17:00,Subscriber
47,55,8/29/2013 12:07,8/29/2013 12:11,Subscriber
55,47,8/29/2013 13:58,8/29/2013 14:02,Subscriber
33,36,8/29/2013 18:10,8/29/2013 18:14,Subscriber
58,54,8/29/2013 15:39,8/29/2013 15:43,Subscriber
58,54,8/29/2013 15:39,8/29/2013 15:43,Subscriber
66,63,8/29/2013 12:56,8/29/2013 13:00,Customer
54,59,8/29/2013 23:12,8/29/2013 23:16,Customer
47,55,8/29/2013 12:13,8/29/2013 12:17,Subscriber
40,33,8/29/2013 12:50,8/29/2013 12:54,Subscriber
47,55,8/29/2013 18:38,8/29/2013 18:42,Subscriber
61,56,8/29/2013 13:29,8/29/2013 13:34,Subscriber
55,55,8/29/2013 14:17,8/29/2013 14:21,Subscriber
49,34,8/29/2013 14:31,8/29/2013 14:35,Customer
47,47,8/29/2013 17:24,8/29/2013 17:28,Subscriber
65,45,8/29/2013 18:06,8/29/2013 18:10,Customer
24,22,8/29/2013 16:51,8/29/2013 16:55,Customer
34,63,8/29/2013 17:19,8/29/2013 17:24,Subscriber
65,60,8/29/2013 20:09,8/29/2013 20:14,Subscriber
66,44,8/29/2013 15:59,8/29/2013 16:03,Customer
29,31,8/29/2013 18:28,8/29/2013 18:33,Customer
59,53,8/29/2013 11:03,8/29/2013 11:08,Subscriber
49,38,8/29/2013 12:55,8/29/2013 13:00,Subscriber
57,66,8/29/2013 21:10,8/29/2013 21:15,Subscriber
21,21,8/29/2013 9:41,8/29/2013 9:46,Customer
49,34,8/29/2013 14:31,8/29/2013 14:36,Customer
66,44,8/29/2013 12:27,8/29/2013 12:32,Subscriber
5,9,8/29/2013 14:33,8/29/2013 14:38,Subscriber
54,58,8/29/2013 19:18,8/29/2013 19:23,Customer
28,29,8/29/2013 17:41,8/29/2013 17:46,Subscriber
38,34,8/29/2013 13:01,8/29/2013 13:06,Subscriber
43,40,8/29/2013 13:57,8/29/2013 14:02,Subscriber
46,46,8/29/2013 15:30,8/29/2013 15:35,Subscriber
61,65,8/29/2013 17:22,8/29/2013 17:27,Subscriber
29,31,8/29/2013 12:12,8/29/2013 12:17,Subscriber
47,55,8/29/2013 11:53,8/29/2013 11:58,Subscriber
42,56,8/29/2013 11:58,8/29/2013 12:03,Customer
50,58,8/29/2013 18:09,8/29/2013 18:14,Customer
17,17,8/29/2013 17:05,8/29/2013 17:10,Subscriber
46,59,8/29/2013 18:06,8/29/2013 18:11,Customer
61,42,8/29/2013 21:53,8/29/2013 21:59,Subscriber
46,59,8/29/2013 16:52,8/29/2013 16:57,Customer
33,40,8/29/2013 12:27,8/29/2013 12:32,Subscriber
40,38,8/29/2013 12:34,8/29/2013 12:39,Subscriber
35,34,8/29/2013 14:34,8/29/2013 14:39,Customer
63,39,8/29/2013 22:50,8/29/2013 22:56,Subscriber
38,34,8/29/2013 13:01,8/29/2013 13:06,Subscriber
7,2,8/29/2013 16:32,8/29/2013 16:37,Subscriber
31,29,8/29/2013 17:53,8/29/2013 17:59,Subscriber
65,52,8/29/2013 14:55,8/29/2013 15:01,Subscriber
51,51,8/29/2013 14:14,8/29/2013 14:20,Subscriber
53,59,8/29/2013 15:19,8/29/2013 15:24,Subscriber
